SnesAddressHex,SnesAddress,Name,Comment,UsedStatus
$004379,17273,A2A7H,"""HDMA Mid Frame Table Address (High)""",UNUSED
$00437A,17274,NTLR7,"""HDMA Line Counter",UNUSED
$008000,32768,fn_MainEntryPoint,"""game entry point (everything starts here)\norg $8000""",USED
$008016,32790,CODE_JP_008016,,USED
$008023,32803,+,,USED
$00803A,32826,CODE_JP_00803A,,USED
$00804D,32845,++,,USED
$00806E,32878,+,,USED
$0080A8,32936,+,,USED
$0080AD,32941,++,,USED
$0080DC,32988,+,,USED
$008117,33047,CODE_FN_008117,,USED
$008166,33126,CODE_FN_008166,,USED
$00818E,33166,+,,USED
$0081D5,33237,UNREACH_0081D5,,USED
$0081D6,33238,UNREACH_0081D6,,USED
$0081D8,33240,UNREACH_0081D8,,USED
$0081D9,33241,UNREACH_0081D9,,USED
$0081DB,33243,UNREACH_0081DB,,USED
$0081F0,33264,CODE_FN_0081F0,,USED
$008227,33319,+,,USED
$008230,33328,CODE_FN_008230,,USED
$008247,33351,fn_BasicInit,"""ROUTINE: Basic init ($008247)\n	Screen off, no interupts, AXY => 8bit\norg $008247""",USED
$00825C,33372,CODE_FL_00825C,,USED
$008366,33638,++++,,USED
$008377,33655,++++,,USED
$00837A,33658,++,,USED
$00837D,33661,+,,USED
$008385,33669,+++,,USED
$0083A8,33704,CODE_JP_0083A8,,USED
$0083D3,33747,+,,USED
$0083DD,33757,+,,USED
$0083E8,33768,CODE_JP_0083E8,,USED
$00841A,33818,+,,USED
$008428,33832,CODE_JP_008428,,USED
$008476,33910,+,,USED
$008479,33913,++,,USED
$0084EB,34027,++,,USED
$0084F8,34040,+,,USED
$008504,34052,fn_Copy8ColorsFromD8E4,"""ROUTINE: Copy 8 Colors from $d8e4 ($008504)\n	copies $8 colors ($10 bytes)\n	data starts at $d8e4\nparameters:\n	A => starting color index\n	X => source address offset\ndirectpage should be $4300\ndma control $4350 should be set\ndma destination $4351 should be set\ndma databank $4354 should be set\n\norg $008504""",USED
$008520,34080,CODE_FN_008520,,USED
$008542,34114,+,,USED
$008543,34115,CODE_FN_008543,,USED
$008577,34167,-,,USED
$0085B7,34231,CODE_JP_0085B7,,USED
$00862D,34349,+,,USED
$00863C,34364,+,,USED
$00863D,34365,CODE_JP_00863D,,USED
$00869D,34461,+,,USED
$0086F3,34547,+,,USED
$008751,34641,CODE_FN_008751,,USED
$00876C,34668,CODE_FN_00876C,,USED
$00876F,34671,CODE_FN_00876F,,USED
$0087CE,34766,+,,USED
$0087F4,34804,++,,USED
$008803,34819,++,,USED
$00883A,34874,+,,USED
$0088A7,34983,+,,USED
$0088C5,35013,++,,USED
$0088CA,35018,+,,USED
$0088FB,35067,++,,USED
$00890C,35084,+,,USED
$008934,35124,+,,USED
$00894D,35149,+,,USED
$008956,35158,CODE_FN_008956,,USED
$008960,35168,UNREACH_008960,,USED
$008961,35169,UNREACH_008961,,USED
$008962,35170,UNREACH_008962,,USED
$008974,35188,+,,USED
$008999,35225,+,,USED
$0089AC,35244,+,,USED
$0089BD,35261,++,,USED
$0089C6,35270,CODE_FN_0089C6,,USED
$0089EA,35306,++,,USED
$0089F5,35317,++,,USED
$008A00,35328,++,,USED
$008A0B,35339,++,,USED
$008A16,35350,++,,USED
$008A21,35361,++,,USED
$008A26,35366,+,,USED
$008A2A,35370,CODE_FN_008A2A,,USED
$008A35,35381,CODE_008A35,,USED
$008A63,35427,+,,USED
