SnesAddressHex,SnesAddress,Name,Comment,UsedStatus
$00AF50,44880,CODE_00AF50,,USED
$00AF5B,44891,CODE_00AF5B,,USED
$00AF7A,44922,CODE_00AF7A,,USED
$00AF7F,44927,CODE_00AF7F,,USED
$00AF82,44930,CODE_00AF82,,USED
$00AFE9,45033,CODE_00AFE9,,USED
$00AFEE,45038,CODE_00AFEE,,USED
$00AFF1,45041,CODE_00AFF1,,USED
$00B01C,45084,CODE_00B01C,,USED
$00B021,45089,CODE_00B021,,USED
$00B024,45092,CODE_00B024,,USED
$00B04B,45131,CODE_00B04B,,USED
$00B050,45136,CODE_00B050,,USED
$00B053,45139,CODE_00B053,,USED
$00B07E,45182,CODE_00B07E,,USED
$00B083,45187,CODE_00B083,,USED
$00B086,45190,CODE_00B086,,USED
$00B0B2,45234,CODE_00B0B2,,USED
$00B0B7,45239,CODE_00B0B7,,USED
$00B0BA,45242,CODE_00B0BA,,USED
$00B0E6,45286,CODE_00B0E6,,USED
$00B10C,45324,CODE_00B10C,,USED
$00B11B,45339,CODE_00B11B,,USED
$00B136,45366,CODE_00B136,,USED
$00B163,45411,CODE_00B163,,USED
$00B181,45441,CODE_00B181,,USED
$00B188,45448,CODE_00B188,,USED
$00B196,45462,CODE_00B196,,USED
$00B1A1,45473,CODE_00B1A1,,USED
$00B1B4,45492,CODE_00B1B4,,USED
$00B1C3,45507,CODE_00B1C3,,USED
$00B1D5,45525,CODE_00B1D5,,USED
$00B1D6,45526,CODE_00B1D6,,USED
$00B1E7,45543,CODE_00B1E7,,USED
$00B1E8,45544,CODE_00B1E8,,USED
$00B203,45571,CODE_00B203,,USED
$00B204,45572,CODE_00B204,,USED
$00B21C,45596,CODE_00B21C,,USED
$00B21D,45597,CODE_00B21D,,USED
$00B22E,45614,CODE_00B22E,,USED
$00B22F,45615,CODE_00B22F,,USED
$00B249,45641,CODE_00B249,,USED
$00B258,45656,CODE_00B258,,USED
$00B274,45684,CODE_00B274,,USED
$00B278,45688,CODE_00B278,,USED
$00B285,45701,CODE_00B285,,USED
$00B313,45843,CODE_00B313,,USED
$00B322,45858,CODE_00B322,,USED
$00B35B,45915,CODE_00B35B,,USED
$00B367,45927,CODE_00B367,,USED
$00B379,45945,CODE_00B379,,USED
$00B38B,45963,CODE_00B38B,,USED
$00B39A,45978,CODE_00B39A,,USED
$00B3A7,45991,CODE_00B3A7,,USED
$00B3CC,46028,CODE_00B3CC,,USED
$00B46E,46190,CODE_00B46E,,USED
$00B49E,46238,CODE_00B49E,,USED
$00B4A6,46246,CODE_00B4A6,,USED
$00B4A7,46247,CODE_00B4A7,,USED
$00B4AF,46255,CODE_00B4AF,,USED
